"year","age","income"
2014,20,11898
2014,21,14701
2014,22,17305
2014,23,19717
2014,24,21944
2014,25,23995
2014,26,25875
2014,27,27592
2014,28,29153
2014,29,30566
2014,30,31838
2014,31,32976
2014,32,33992
2014,33,34895
2014,34,35694
2014,35,36399
2014,36,37021
2014,37,37569
2014,38,38053
2014,39,38482
2014,40,38867
2014,41,39211
2014,42,39510
2014,43,39761
2014,44,39961
2014,45,40107
2014,46,40195
2014,47,40221
2014,48,40184
2014,49,40079
2014,50,39903
2014,51,39654
2014,52,39332
2014,53,38935
2014,54,38463
2014,55,37916
2014,56,37292
2014,57,36591
2014,58,35813
2014,59,34956
2014,60,34020
2013,20,11949
2013,21,14667
2013,22,17196
2013,23,19543
2013,24,21715
2013,25,23717
2013,26,25557
2013,27,27240
2013,28,28774
2013,29,30164
2013,30,31418
2013,31,32542
2013,32,33543
2013,33,34428
2013,34,35205
2013,35,35881
2013,36,36462
2013,37,36957
2013,38,37373
2013,39,37715
2013,40,37993
2013,41,38211
2013,42,38372
2013,43,38480
2013,44,38539
2013,45,38552
2013,46,38523
2013,47,38455
2013,48,38352
2013,49,38216
2013,50,38053
2013,51,37865
2013,52,37656
2013,53,37432
2013,54,37196
2013,55,36952
2013,56,36706
2013,57,36460
2013,58,36219
2013,59,35988
2013,60,35770
2012,20,12076
2012,21,14938
2012,22,17587
2012,23,20030
2012,24,22276
2012,25,24333
2012,26,26207
2012,27,27908
2012,28,29443
2012,29,30820
2012,30,32047
2012,31,33132
2012,32,34085
2012,33,34914
2012,34,35630
2012,35,36241
2012,36,36757
2012,37,37187
2012,38,37540
2012,39,37826
2012,40,38053
2012,41,38228
2012,42,38352
2012,43,38429
2012,44,38459
2012,45,38445
2012,46,38390
2012,47,38294
2012,48,38161
2012,49,37993
2012,50,37791
2012,51,37558
2012,52,37299
2012,53,37016
2012,54,36713
2012,55,36393
2012,56,36061
2012,57,35719
2012,58,35371
2012,59,35022
2012,60,34673
2011,20,11907
2011,21,14888
2011,22,17636
2011,23,20159
2011,24,22467
2011,25,24568
2011,26,26473
